Bonmin 1.7 using Cbc 2.8 and Ipopt 3.11


******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I           339         OPT 773349.03       19 0.034261
NLP0014I           340         OPT 764990.19       18 0.030319
Cbc0010I After 200 nodes, 18 on tree, 769440.38 best solution, best possible 761659.29 (12.05 seconds)
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I           341         OPT 773990.63       17 0.029903
NLP0014I           342         OPT 768921.76       20 0.033961
NLP0014I           343         OPT 780170.11       19 0.031441
NLP0014I           344         OPT 768921.76       20 0.030703
NLP0014I           345         OPT 778743.71       18 0.029792
NLP0014I           346         OPT 771862.89       20 0.032088
NLP0014I           347         OPT 780132.89       18 0.029545
NLP0014I           348         OPT 761764.36       17 0.033267
NLP0014I           349         OPT 777039.41       18 0.030665
NLP0014I           350         OPT 761764.36       17 0.029685
NLP0014I           351         OPT 771713.98       18 0.029961
NLP0014I           352         OPT 761764.36       17 0.027428
NLP0014I           353         OPT 776863.9       19 0.033689
NLP0014I           354         OPT 761764.36       17 0.03125
NLP0014I           355         OPT 775134.95       17 0.02741
NLP0014I           356         OPT 761764.36       17 0.029465
NLP0014I           357         OPT 777935.71       18 0.030126
NLP0014I           358         OPT 761764.36       17 0.031167
NLP0014I           359         OPT 776525.83       18 0.027694
NLP0014I           360         OPT 766254.13       19 0.032246
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I           361         OPT 773443.77       19 0.034607
NLP0014I           362         OPT 769560.38       19 0.03223
NLP0014I           363         OPT 778208.63       18 0.031498
NLP0014I           364         OPT 762014.59       19 0.031114
NLP0014I           365         OPT 777062.94       19 0.032843
NLP0014I           366         OPT 762014.59       19 0.030854
NLP0014I           367         OPT 773262.39       18 0.028554
NLP0014I           368         OPT 762014.59       19 0.030103
NLP0014I           369         OPT 772723.26       17 0.028488
NLP0014I           370         OPT 762014.59       19 0.03785
NLP0014I           371         OPT 776688.88       18 0.02701
NLP0014I           372         OPT 766399.51       19 0.031517
NLP0014I           373         OPT 777043.86       18 0.029245
NLP0014I           374         OPT 769446.65       17 0.022131
NLP0014I           375         OPT 778332.89       19 0.029619
NLP0014I           376         OPT 763152.08       18 0.028425
NLP0014I           377         OPT 779521.4       18 0.033174
NLP0014I           378         OPT 763152.08       18 0.031369
NLP0014I           379         OPT 777241.29       17 0.033825
NLP0014I           380         OPT 763152.08       18 0.02565
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I           381         OPT 772164.17       18 0.026315
NLP0014I           382         OPT 763152.08       18 0.045255
NLP0014I           383         OPT 778851.1       17 0.037058
NLP0014I           384         OPT 763152.08       18 0.028257
NLP0014I           385         OPT 776968.92       18 0.032429
NLP0014I           386         OPT 766272.88       18 0.029807
NLP0014I           387         OPT 775300.41       19 0.031217
NLP0014I           388         OPT 770505.9       18 0.02795
NLP0014I           389         OPT 774587.24       17 0.028167
NLP0014I           390         OPT 764809.34       20 0.033963
NLP0014I           391         OPT 772516.25       19 0.031871
NLP0014I           392         OPT 765143.6       22 0.039238
NLP0014I           393         OPT 772488.12       19 0.030245
NLP0014I           394         OPT 765143.6       22 0.037299
NLP0014I           395         OPT 773593.61       22 0.038163
NLP0014I           396         OPT 773328.44       26 0.048616
NLP0014I           397         OPT 771214.99       18 0.039975
NLP0014I           398         OPT 765001.19       17 0.038615
NLP0014I           399         OPT 780634.4       17 0.030513
NLP0014I           400         OPT 765001.19       17 0.027465
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I           401         OPT 782335.21       18 0.03121
NLP0014I           402         OPT 765001.19       17 0.027553
NLP0014I           403         OPT 779779.15       17 0.028432
NLP0014I           404         OPT 765001.19       17 0.028587
NLP0014I           405         OPT 781013.4       17 0.028563
NLP0014I           406         OPT 765001.19       17 0.028767
NLP0014I           407         OPT 781230.98       17 0.029175
NLP0014I           408         OPT 765001.19       17 0.03305
NLP0014I           409         OPT 780528.13       17 0.030599
NLP0014I           410         OPT 765001.19       17 0.032394
NLP0014I           411         OPT 778182.86       17 0.032696
NLP0014I           412         OPT 765001.19       17 0.030581
NLP0014I           413         OPT 773858.31       18 0.033413
NLP0014I           414         OPT 767452.76       19 0.03341
NLP0014I           415         OPT 773972.19       17 0.034134
NLP0014I           416         OPT 771100.34       20 0.034573
NLP0014I           417         OPT 779022.62       19 0.034283
NLP0014I           418         OPT 765423.89       18 0.028901
NLP0014I           419         OPT 780863.82       17 0.02909
NLP0014I           420         OPT 765423.89       18 0.028743
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I           421         OPT 782313.4       17 0.027882
NLP0014I           422         OPT 765423.89       18 0.027384
NLP0014I           423         OPT 781370.22       17 0.026861
NLP0014I           424         OPT 765423.89       18 0.025217
NLP0014I           425         OPT 779930.76       17 0.026656
NLP0014I           426         OPT 765423.89       18 0.024292
NLP0014I           427         OPT 781613.89       18 0.023986
NLP0014I           428         OPT 765423.89       18 0.028302
NLP0014I           429         OPT 781035.91       17 0.025753
NLP0014I           430         OPT 765423.89       18 0.033075
NLP0014I           431         OPT 780919.37       20 0.034074
NLP0014I           432         OPT 765423.89       18 0.032018
NLP0014I           433         OPT 776544.44       18 0.028086
NLP0014I           434         OPT 765423.89       18 0.027868
NLP0014I           435         OPT 778889.39       17 0.02716
NLP0014I           436         OPT 768803.87       20 0.034009
NLP0014I           437         OPT 777137.76       17 0.027992
NLP0014I           438         OPT 771697.98       19 0.022211
NLP0014I           439         OPT 778447.64       19 0.037754
NLP0014I           440         OPT 766569.81       18 0.028312
Cbc0010I After 300 nodes, 11 on tree, 769440.38 best solution, best possible 766569.81 (15.20 seconds)
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I           441         OPT 788887.83       19 0.032582
NLP0014I           442         OPT 766569.81       18 0.028215
NLP0014I           443         OPT 782233.91       20 0.035328
NLP0014I           444         OPT 766569.81       19 0.031057
NLP0014I           445         OPT 785720.29       18 0.029881
NLP0014I           446         OPT 766569.81       18 0.030897
NLP0014I           447         OPT 783954.16       18 0.030612
NLP0014I           448         OPT 766569.81       19 0.03588
NLP0014I           449         OPT 782602.86       17 0.033572
NLP0014I           450         OPT 766569.81       19 0.034087
